card_name,amount,set_name,collector_number,is_foil
"Purphoros, Bronze-Blooded",1,THB,150,0
Scavenging Harpy,1,THB,114,0
Inspire Awe,1,THB,175,0
Wrap in Flames,1,THB,164,0
Grim Physician,1,THB,100,0
Setessan Training,1,THB,201,0
Triton Waverider,2,THB,78,0
Portent of Betrayal,1,THB,149,0
"Anax, Hardened in the Forge",1,THB,264,0
Hyrax Tower Scout,10,THB,173,0
Glimpse of Freedom,1,THB,50,0
Stampede Rider,1,THB,155,0
Heliod's Pilgrim,1,THB,20,0
Riptide Turtle,1,THB,61,0
Thundering Chariot,1,THB,239,0
Hero of the Games,1,THB,137,0
Minion's Return,1,THB,104,0
The Birth of Meletis,2,THB,5,0
Underworld Sentinel,3,THB,293,0
Naiad of Hidden Coves,1,THB,56,0
Mogis's Favor,1,THB,107,0
Heroes of the Revel,1,THB,138,0
Leonin of the Lost Pride,1,THB,28,0
Altar of the Pantheon,1,THB,231,0
Dreadful Apathy,1,THB,11,0
Wings of Hubris,1,THB,241,0
Ichthyomorphosis,1,THB,51,0
Mirror Shield,1,THB,234,0
Lampad of Death's Vigil,2,THB,103,0
Elspeth Conquers Death,1,THB,13,0
Incendiary Oracle,2,THB,140,0
Purphoros's Intervention,1,THB,151,0
Voracious Typhon,1,THB,203,0
Final Flare,1,THB,134,0
Underworld Charger,2,THB,120,0
Thrill of Possibility,2,M21,165,0
Aspect of Manticore,1,THB,127,0
Dreamshaper Shaman,1,THB,130,0
Dawn Evangel,1,THB,8,0
Daybreak Chimera,3,THB,10,0
Chain to Memory,1,THB,46,0
Temple Thief,1,THB,116,0
Farsight Mask,1,PCA,109,0
"Gonti, Lord of Luxury",1,JMP,240,0
Keeper of Fables,1,JMP,407,0
Witch of the Moors,1,JMP,18,0
Assault Suit,1,C14,53,0
Snake Umbra,1,NEC,130,0
Prairie Stream,1,NEC,175,0
Skycloud Expanse,1,NEC,177,0
Temple of Enlightenment,1,NEC,180,0
Fireshrieker,1,NEC,151,0
Acidic Slime,1,NEC,112,0
Port Town,1,NEC,174,0
Dissension in the Ranks,1,SOI,152,0
Rabid Bite,1,SOI,223,0
Tenacity,1,SOI,42,0
Drogskol Cavalry,1,SOI,15,0
Fleeting Memories,1,SOI,62,0
Essence Flux,1,SOI,61,0
Not Forgotten,1,SOI,30,0
Humble the Brute,1,SOI,23,0
Behind the Scenes,1,SOI,100,0
Vessel of Volatility,1,SOI,189,0
Creeping Dread,1,SOI,104,0
Epitaph Golem,1,SOI,254,0
Hope Against Hope,1,SOI,22,0
Rattlechains,1,SOI,81,0
Nahiri's Machinations,1,SOI,28,0
Spectral Shepherd,1,SOI,38,0
Pore Over the Pages,1,SOI,79,0
Invocation of Saint Traft,1,SOI,246,0
Town Gossipmonger // Incited Rabble,1,SOI,46,0
Manic Scribe,1,SOI,73,0
Gloomwidow,1,SOI,206,0
Briarbridge Patrol,1,SOI,195,0
Magnifying Glass,1,SOI,258,0
Deathcap Cultivator,1,SOI,202,0
Ethereal Ambush,3,FRF,152,0
Ephemerate,1,MH1,7,0
Rhox Veteran,2,MH1,24,0
Martyr's Soul,1,MH1,19,0
Nimble Mongoose,1,MH1,174,0
Webweaver Changeling,1,MH1,192,0
Fountain of Ichor,1,MH1,223,0
Trumpeting Herd,1,MH1,187,0
Treetop Ambusher,1,MH1,186,0
Choking Tethers,2,MH1,44,0
Spell Snuff,1,MH1,70,0
Azra Smokeshaper,1,MH1,79,0
Return to Dust,1,KHC,32,0
Cryptic Caves,1,KHC,109,0
Windfall,1,KHC,46,0
Banishing Light,1,KHC,19,0
Meteor Golem,1,KHC,101,0
"Brago, King Eternal",1,KHC,82,0
Sol Ring,1,KHC,104,0
Ghostly Prison,1,KHC,26,0
Azorius Signet,1,KHC,97,0
Ranar the Ever-Watchful,1,KHC,2,0
Sage of the Beyond,1,KHC,6,0
Marshal's Anthem,1,KHC,29,0
Curse of the Swine,1,KHC,37,0
Storm Herd,1,KHC,33,0
Whirler Rogue,1,KHC,45,0
Wall of Omens,1,KHC,35,0
Mulldrifter,1,KHC,42,0
Sky Diamond,1,KHC,103,0
Restoration Angel,1,KHC,31,0
Commander's Sphere,1,KHC,99,0
Hero of Bretagard,1,KHC,4,0
Myriad Landscape,1,KHC,115,0
Ghostly Flicker,1,KHC,39,0
Sea Gate Oracle,1,KHC,43,0
Eerie Interlude,1,KHC,22,0
Geist-Honored Monk,1,KHC,25,0
Soulherder,1,KHC,93,0
Ethereal Valkyrie,1,KHC,16,0
Burnished Hart,1,KHC,98,0
Azorius Guildgate,1,KHC,107,0
Mistmeadow Witch,1,KHC,88,0
Kor Cartographer,1,KHC,28,0
Opal Palace,1,KHC,116,0
Cloudgoat Ranger,1,KHC,21,0
Spectral Deluge,1,KHC,7,0
Command Tower,1,KHC,108,0
Day of the Dragons,1,KHC,38,0
Inspired Sphinx,1,KHC,40,0
Thunderclap Wyvern,1,KHC,94,0
Goldnight Commander,1,KHC,27,0
Mist Raven,1,KHC,41,0
Cosmic Intervention,1,KHC,3,0
Cleansing Nova,1,KHC,20,0
Empyrean Eagle,1,KHC,85,0
Migratory Route,1,KHC,87,0
Sejiri Refuge,1,KHC,118,0
Sun Titan,1,KHC,34,0
Arcane Artisan,1,KHC,36,0
Tranquil Cove,1,KHC,119,0
Swiftfoot Boots,1,KHC,105,0
Angel of Serenity,1,KHC,18,0
Tales of the Ancestors,1,KHC,8,0
Azorius Chancery,1,KHC,106,0
Evangel of Heliod,1,KHC,23,0
Marble Diamond,1,KHC,100,0
Synthetic Destiny,1,KHC,44,0
Meandering River,1,KHC,114,0
Mind Stone,1,KHC,102,0
Cloudblazer,1,KHC,84,0
Flickerwisp,1,KHC,24,0
Momentary Blink,1,KHC,30,0
Arcane Signet,1,KHC,96,0
Stoic Farmer,1,KHC,5,0
Angel of Finality,1,KHC,17,0
Nebelgast Beguiler,2,VOW,25,0
Witch's Web,3,VOW,227,0
Plains,4,VOW,398,0
Flourishing Hunter,2,VOW,199,0
Winged Portent,1,VOW,89,0
Soulcipher Board // Cipherbound Spirit,1,VOW,79,0
Hullbreaker Horror,1,VOW,63,0
Whispering Wizard,1,VOW,88,0
Spore Crawler,3,VOW,222,0
Geistlight Snare,1,VOW,60,0
Mirrorhall Mimic // Ghastly Mimicry,1,VOW,68,0
Unholy Officiant,2,VOW,41,0
Brine Comber // Brinebound Gift,1,VOW,233,0
Dig Up,1,VOW,197,0
"Henrika Domnathi // Henrika, Infernal Seer",1,VOW,119,0
Abrade,4,VOW,139,0
Mischievous Catgeist // Catlike Curiosity,1,VOW,69,0
Lantern Bearer // Lanterns' Lift,1,VOW,66,0
Distracting Geist // Clever Distraction,1,VOW,9,0
Serpentine Ambush,3,VOW,77,0
Mountain,4,VOW,401,0
Welcoming Vampire,1,VOW,46,0
Fleeting Spirit,1,VOW,14,0
Wretched Throng,4,VOW,91,0
Twinblade Geist // Twinblade Invocation,1,VOW,40,0
Island,4,VOW,399,0
Thornweald Archer,1,EMA,189,0
Faithless Looting,1,EMA,128,0
Fog,1,EMA,167,0
Crater Hellion,1,EMA,124,0
Grappling Hook,1,C17,212,0
Underworld Connections,1,C17,128,0
Death's Caress,1,DKA,59,0
Midnight Guard,1,DKA,14,0
Deadly Allure,1,DKA,58,0
Skirsdag Flayer,1,DKA,74,0
Skillful Lunge,1,DKA,22,0
Fiend of the Shadows,1,DKA,62,1
Kessig Recluse,1,DKA,121,0
Pyreheart Wolf,1,DKA,101,0
Gather the Townsfolk,2,DKA,8,0
Wild Hunger,1,DKA,132,0
Dungeon Geists,1,DKA,36,0
Suspend,1,MH2,68,0
Urban Daggertooth,1,MH2,181,0
Nevinyrral's Disk,1,MH2,298,0
Smell Fear,1,MH2,173,0
Island,4,NEO,285,0
Fang of Shigeki,1,NEO,183,0
Mountain,4,NEO,289,0
Brute Suit,2,NEO,241,0
Rugged Highlands,4,NEO,273,0
Plains,4,NEO,283,0
Tranquil Cove,4,NEO,280,0
Planar Incision,1,NEO,72,0
Seven-Tail Mentor,3,NEO,36,0
Forest,4,NEO,291,0
Kappa Tech-Wrecker,1,NEO,198,0
Touch the Spirit Realm,1,NEO,40,0
Search for Tomorrow,1,TSR,229,0
Evolution Charm,1,TSR,202,0
Ornithopter,2,M11,211,0
Greater Basilisk,1,M11,180,0
Sword of Vengeance,1,M11,216,0
Celestial Purge,1,M11,9,0
Mwonvuli Beast Tracker,1,M13,177,0
Mindclaw Shaman,1,M13,142,0
Deadly Recluse,1,M13,165,0
Duskmantle Prowler,1,M13,91,0
Oreskos Swiftclaw,1,JOU,20,0
Cast into Darkness,1,JOU,63,0
Agent of Erebos,1,JOU,59,0
Whitewater Naiads,1,JOU,58,0
Nessian Game Warden,1,JOU,132,0
Bladetusk Boar,1,JOU,90,0
Cloaked Siren,1,JOU,32,0
Magma Spray,1,JOU,103,0
Returned Reveler,1,JOU,79,0
Spirespine,1,JOU,142,0
Squelching Leeches,1,JOU,84,0
Pin to the Earth,1,JOU,45,0
Chariot of Victory,1,JOU,159,0
Market Festival,1,JOU,130,0
Rise of Eagles,1,JOU,49,0
Satyr Grovedancer,2,JOU,139,0
Eagle of the Watch,1,JOU,9,0
Banishing Light,1,JOU,5,0
Rimebound Dead,1,CSP,69,0
Lightning Storm,1,CSP,89,0
Gristle Grinner,1,CSP,59,0
Dark Ritual,1,DDE,18,0
Nebelgast Herald,1,EMN,71,0
Long Road Home,1,EMN,34,0
Niblis of Frost,1,EMN,72,0
Gnarlwood Dryad,1,EMN,159,0
Felidar Sovereign,1,BFZ,26,0
Adverse Conditions,1,BFZ,54,0
Eldrazi Devastator,1,BFZ,7,0
Grave Birthing,1,BFZ,93,0
Kalastria Nightwatch,1,BFZ,115,0
Pathway Arrows,1,BFZ,225,0
Valakut Invoker,1,BFZ,159,0
Reclaiming Vines,1,BFZ,185,0
Slab Hammer,1,BFZ,227,0
Firemantle Mage,1,BFZ,145,0
Vampiric Rites,1,BFZ,124,0
Clutch of Currents,1,BFZ,72,0
Gruesome Slaughter,1,BFZ,9,0
Molten Nursery,2,BFZ,130,0
Expedition Envoy,1,BFZ,24,0
Painful Truths,1,BFZ,120,0
Eyeless Watcher,1,BFZ,166,0
Rising Miasma,1,BFZ,122,0
Ob Nixilis Reignited,1,BFZ,119,0
Ulamog's Despoiler,1,BFZ,16,0
Tandem Tactics,1,BFZ,52,0
Scour from Existence,1,BFZ,13,0
Sheer Drop,1,BFZ,48,0
Tajuru Warcaller,1,BFZ,195,0
Reckless Cohort,1,BFZ,152,0
Hedron Blade,1,BFZ,224,0
Scythe Leopard,1,BFZ,188,0
Silent Skimmer,1,BFZ,96,0
Eldrazi Skyspawner,1,BFZ,58,0
Natural Connection,1,BFZ,179,0
Makindi Sliderunner,1,BFZ,148,0
Lifespring Druid,1,BFZ,177,0
Mind Raker,1,BFZ,95,0
Vestige of Emrakul,1,BFZ,136,0
Goblin War Paint,1,BFZ,146,0
Looming Spires,1,BFZ,238,0
Dispel,1,BFZ,76,0
Carrier Thrall,2,BFZ,106,0
Mire's Malice,1,BFZ,117,0
Akoum Stonewaker,1,BFZ,140,0
Woodland Wanderer,1,BFZ,198,0
Boiling Earth,1,BFZ,142,0
Roilmage's Trick,1,BFZ,83,0
Incubator Drone,1,BFZ,60,0
Spawning Bed,1,BFZ,248,0
Brood Monitor,1,BFZ,164,0
Benthic Infiltrator,1,BFZ,55,0
Kor Castigator,1,BFZ,35,0
Retreat to Valakut,1,BFZ,153,0
Mist Intruder,1,BFZ,61,0
Knight of the Holy Nimbus,3,TSP,26,0
Sudden Spoiling,1,TSP,135,0
Pentarch Paladin,1,TSP,32,0
Master's Call,2,MBS,13,0
Viridian Emissary,1,MBS,95,0
Pistus Strike,1,MBS,86,0
Plaguemaw Beast,1,MBS,87,0
Lead the Stampede,1,MBS,82,0
Rot Wolf,1,MBS,90,0
Shriekhorn,1,MBS,130,0
Signal Pest,2,MBS,131,0
Silverskin Armor,3,MBS,132,0
Divine Offering,4,MBS,5,0
Peregrine Drake,1,EMA,64,0
Halimar Depths,1,WWK,137,0
Treasure Hunt,1,WWK,42,0
Vastwood Animist,1,WWK,116,0
Executioner's Capsule,1,2XM,92,0
Conclave Naturalists,1,2XM,160,0
Clone Shell,1,2XM,241,0
Trash for Treasure,1,2XM,148,0
Deathreap Ritual,1,2XM,194,0
Brainstorm,1,2XM,44,0
Frogify,1,2XM,52,0
Ovalchase Daredevil,1,2XM,101,0
Riddlesmith,1,2XM,65,0
Clockwork Condor,1,DDF,50,0
Venom Connoisseur,1,SNC,161,0
High-Rise Sawjack,3,SNC,150,0
Backup Agent,3,SNC,2,0
Island,3,SNC,264,0
Inspiring Overseer,3,SNC,18,0
Prizefight,1,SNC,154,0
Kill Shot,2,SNC,19,0
Forest,3,SNC,271,0
Arc Spitter,1,SNC,233,0
Mountain,4,SNC,268,0
Executioner's Hood,1,DKA,148,0
Avacyn's Collar,2,DKA,145,0
